ChathamIsland
NZ_DOE
43.92°S     176.50°W
16-sept-83  11-Oct-1996
Mon         Stat        Cl          NO3         SO4         Na          SeaSalt     nssSO4      MSA         Dust        NH4
of          Param       Air         Air         Air         Air         Air         Air         Air         Air         Air
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Mon         Stat        Cl          NO3         SO4         Na          SeaSalt     nssSO4      MSA         Dust        NH4
of          Param       Air         Air         Air         Air         Air         Air         Air         Air         Air
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Jan         N           25          25          25          25          25          25          7           0           25
Jan         Mean        5.003       0.218       1.25        3.153       10.255      0.457       0.0373      -999        0.1252
Jan         StdDev      2.267       0.104       0.414       1.293       4.205       0.225       0.0126      -999        0.052
Feb         N           20          20          20          20          20          20          7           0           20
Feb         Mean        5.63        0.197       1.214       3.488       11.342      0.336       0.0256      -999        0.1065
Feb         StdDev      3.496       0.112       0.393       1.853       6.027       0.184       0.0107      -999        0.0523
Mar         N           26          26          26          26          26          26          6           0           26
Mar         Mean        5.601       0.196       1.139       3.384       11.005      0.287       0.0179      -999        0.0848
Mar         StdDev      2.598       0.095       0.362       1.461       4.751       0.142       0.0063      -999        0.0373
Apr         N           23          23          23          23          23          23          9           0           23
Apr         Mean        6.08        0.194       1.137       3.602       11.715      0.231       0.0125      -999        0.0654
Apr         StdDev      2.579       0.13        0.304       1.462       4.755       0.159       0.0022      -999        0.0292
May         N           27          27          27          27          27          25          9           0           27
May         Mean        5.9         0.22        1.168       3.564       11.59       0.308       0.0117      -999        0.0713
